,0
0,https://vk.com/public91050183
1,https://vk.com/public28905875
2,https://vk.com/public66678575
3,https://vk.com/public31480508
4,https://vk.com/public73247559
5,https://vk.com/public57846937
6,https://vk.com/public71729358
7,https://vk.com/public139923997
8,https://vk.com/public39566948
9,https://vk.com/public30022666
10,https://vk.com/public152219848
11,https://vk.com/public460389
12,https://vk.com/public67580761
13,https://vk.com/public8722610
14,https://vk.com/club184225789
15,https://vk.com/public113071474
16,https://vk.com/public29599237
17,https://vk.com/public29599237
18,https://vk.com/public12382740
19,https://vk.com/public29534144
20,https://vk.com/public32370614
21,https://vk.com/public34215577
22,https://vk.com/public9884911
23,https://vk.com/public159146575
24,https://vk.com/public161486117
25,https://vk.com/public101982925
26,https://vk.com/public30602036
27,https://vk.com/public26030283
28,https://vk.com/public58170807
29,https://vk.com/public22746750
30,https://vk.com/public58737741
31,https://vk.com/public73776762
32,https://vk.com/public63758929
33,https://vk.com/public40553536
34,https://vk.com/public38683579
35,https://vk.com/public39399586
36,https://vk.com/public39399586
37,https://vk.com/public39399586
38,https://vk.com/public35294456
39,https://vk.com/public42968101
40,https://vk.com/public106084026
41,https://vk.com/public53845179
42,https://vk.com/public32015300
43,https://vk.com/public12353330
44,https://vk.com/public22942343
45,https://vk.com/public23213239
46,https://vk.com/public112211940
47,https://vk.com/public23337480
48,https://vk.com/club14785431
49,https://vk.com/public183488070
50,https://vk.com/public56106344
51,https://vk.com/public49135017
52,https://vk.com/vedomosti
53,https://vk.com/interfaxru
54,https://vk.com/rbc
55,https://vk.com/rbc_trends
56,https://vk.com/ostorozhno_news
57,https://vk.com/plohie_novosti_mc
58,https://vk.com/ria
59,https://vk.com/toporcc
60,https://vk.com/1tvnews
61,https://vk.com/vesti
62,https://vk.com/znamynws
63,https://vk.com/rt_russian
64,https://vk.com/public188318774
65,https://vk.com/wise_thoughts
66,https://vk.com/refilms
67,https://vk.com/trevogznie_novosti
68,https://vk.com/foto.novosti
69,https://vk.com/top_novostnoy
70,https://vk.com/celebrities_pub
71,https://vk.com/gor_novosti1
72,https://vk.com/blackvadratvk
73,https://vk.com/killmeplease66
74,https://vk.com/xinhuanews
75,https://vk.com/rus_armi
76,https://vk.com/rebadnews
77,https://vk.com/rus_armi
78,https://vk.com/rebadnews
79,https://vk.com/oryslenti
80,https://vk.com/the_black_news
81,https://vk.com/football_obzortv
82,https://vk.com/best_news1
83,https://vk.com/oru_s_lentu
84,https://vk.com/public192772120
85,https://vk.com/zeus_group
86,https://vk.com/wgcsgo
87,https://vk.com/brain_up
88,https://vk.com/piknvst
89,https://vk.com/svegienov
90,https://vk.com/zakulyska
91,https://vk.com/novosti_shou_biznesa
92,https://vk.com/rentvchannel
93,https://vk.com/live_ukr
94,https://vk.com/chets_news
95,https://vk.com/public56427165
96,https://vk.com/shock_incident
97,https://vk.com/latests_news
98,https://vk.com/russiaonliane
99,https://vk.com/poslednovostii
100,https://vk.com/club54213443
101,https://vk.com/ondom2
102,https://vk.com/inside__rus
103,https://vk.com/smerch__00321
104,https://vk.com/lovetnt
105,https://vk.com/recent_films_2019
106,https://vk.com/srochniye_novosti
107,https://vk.com/shou_biznes
108,https://vk.com/public63990175
109,https://vk.com/ukrop_ua
110,https://vk.com/graznews
111,https://vk.com/golos_narodda
